	my	name	is	javad	pourmostafa	and	i	am	from	guilan	nlp	group	at	the	university	of	.
57	-0.29633406	-0.33914074	0.09890402	-0.09336596	-0.22103639	0.08553633	0.014034335	0.22937763	0.01384639	0.029141562	0.10220121	0.104961045	0.20402908	0.043966424	0.051067363	0.077475935	0.22143589
58	-0.05227615	0.24607375	0.16108698	0.10407984	0.20270742	-0.28134963	-0.13102104	0.035412326	-0.09754755	-0.29041386	0.31878668	-0.06272819	-0.11718643	-0.051179335	-0.054406174	-0.16342841	-0.107645616
59	0.28270844	-0.10320021	0.15746191	-0.09634685	-0.29490274	0.17001265	0.10406031	-0.012339175	0.14298023	0.47831354	0.23449558	-0.051294744	0.11301826	0.097818814	0.7779647	0.1654678	0.16170132
60	0.0069673955	0.26246816	0.08586655	0.1546142	0.275491	-0.049193658	-0.16595419	0.030584753	0.18272431	-0.11587469	0.49643266	0.07966915	0.21741295	-0.050704677	0.111288615	-0.26099026	0.06516257
61	0.0641094	0.058836374	-0.12660371	0.16528901	0.2503144	-0.16721438	-0.05264507	-0.20982462	-0.095172964	0.024527349	0.0063611227	-0.08702613	-0.2378254	-0.18194963	0.06740986	-0.29121628	-0.38164136
62	0.1634463	-0.27264008	0.08660622	0.54183555	-0.020456923	0.19017547	0.03559819	0.084391735	0.2556465	-0.30039048	-0.4746987	-0.011941978	0.22149375	0.32364678	-0.15457588	0.30181903	0.40246248
63	0.12766254	-0.075504676	-0.012516588	0.14313276	0.0656667	-0.04740004	-0.17021304	-0.008679241	-0.0038474202	-0.047484867	-0.47022417	0.058523174	-0.09938435	-0.07636254	0.1772937	-0.16758582	-0.4063656
64	-0.011707053	0.068042696	-0.06008585	-0.021510126	0.07587062	-0.00036411628	0.20490965	0.24638075	-0.065211505	0.34048405	0.35957116	0.13447784	-0.15909114	0.046492077	-0.17745686	-0.05651878	-0.15695068
65	-0.32785395	-0.25887653	0.05804673	-0.6383213	-0.22569972	0.026316244	-0.20084476	-0.3032466	-0.009711509	-0.0004792245	-0.1953613	-0.09932698	-0.23008345	-0.19885533	0.30722225	-0.12898062	-0.026062563
66	0.3177111	0.031551275	-0.19545148	-0.44325408	-0.016932236	-0.22135441	0.26765585	0.22781834	-0.51114464	-0.22649398	0.14687571	-0.42037556	-0.16895579	-0.2442921	0.23242392	-0.19701907	0.08266024
67	0.22029187	0.11410321	0.029768407	-0.210347	-0.028485581	-0.06158341	0.09765145	0.22647524	0.24172346	0.17035787	0.28790966	-0.18151762	0.048092548	-0.18651217	-0.27439	-0.1511777	-0.21487159
68	0.30548257	-0.110814475	0.13530372	-0.17764574	-0.1382394	-0.2185432	0.09770051	0.12046221	-0.08495478	-0.27924156	-0.16239128	-0.18838896	-0.34688023	-0.22465019	-0.19193728	-0.1337399	-0.19077487
69	0.1383847	0.011696163	-0.054935932	0.25246587	-0.10299727	-0.021668917	-0.10980776	-0.13298848	-0.10739354	0.09323926	0.39809874	-0.1208988	0.077259466	0.06939242	0.111502565	-0.15003067	0.015702248
70	0.28463262	0.235967	-0.09760994	0.13479173	0.17669924	-0.2963023	0.20629333	0.44712186	-0.22901657	-0.027123626	0.069766015	-0.17767559	-0.26626205	-0.37377408	0.024878407	-0.23524892	0.0019313395
71	-0.13831942	-0.075683974	0.041602165	0.18483485	-0.0854792	-0.0719495	-0.31510445	-0.09908804	0.009762689	-0.08775197	0.32884082	0.012127196	-0.16247022	-0.08235058	-0.0462193	-0.15915483	0.028564513
72	0.15396893	0.21615808	0.19328722	0.517573	0.33633444	0.010637712	0.2909705	0.1829167	0.12840357	0.28609785	0.28658152	0.2028261	0.053485002	0.061530985	0.5609635	0.13042209	-0.11220753
73	-0.15033375	-0.44337404	-0.07127267	-0.08094768	0.124526724	-0.19055384	-0.026422948	0.14088047	-0.12304771	-0.30032444	-0.04823225	-0.30758873	-0.06489953	-0.13148801	-0.21113911	-0.027343765	-0.32310906
74	-0.24153122	-0.22420701	-0.4063982	-0.14982729	-0.18926658	-0.112918526	-0.082555205	-0.026524387	-0.07209105	-0.4395749	0.13907795	0.05419469	0.01726769	-0.07582442	0.04992117	-0.12427491	-0.110339716
75	0.06996688	0.14071365	-0.0751629	0.31037134	-0.06622553	-0.09907184	0.32322314	0.16708152	0.1259687	0.027871327	-0.0054505556	-0.02281306	-0.1699093	-0.060647048	-0.16304077	-0.043630548	-0.0036508143
76	0.031244263	-0.0032377678	0.037472636	-0.044899117	0.096770786	0.19357103	0.060971502	0.3837872	0.22261451	0.41226918	0.65393686	-0.056949824	0.18328649	0.07274713	0.42484197	0.12414296	0.09867671
77	0.32232243	0.4205072	0.24461624	0.18577309	0.055719685	0.14115174	0.086411774	0.29192808	0.1257906	0.14455773	0.09516129	0.03205254	0.20680875	0.24396569	0.26171863	0.34889114	0.04487729
78	-0.14196534	-0.08671067	0.068334304	0.43816188	0.41717136	0.06834628	-0.024904013	-0.038572356	0.15230417	0.36308798	-0.561344	0.18032394	-0.07836296	0.021046018	0.25511166	0.049436763	-0.03788784
79	0.12740667	0.008151608	-0.082492806	-0.21305716	0.14901528	-0.00045946668	0.25224978	-0.08157314	0.060826212	-0.2645422	-0.04540603	-0.032526545	-0.1928166	-0.07125264	0.26334697	-0.010112219	0.05535704
80	-0.07541999	-0.05081455	-0.046809364	0.18634672	0.073220395	0.072621144	-0.17194894	0.17449856	0.037958227	-0.021166362	0.115885876	0.2111917	0.100322	0.11114789	0.07118508	0.20246589	-0.083051935
81	0.49699166	0.16137211	0.12907413	0.62084883	0.21443214	-0.021192083	0.26370054	0.4614396	-0.012942361	0.17566194	0.067437515	-0.21206106	0.23401915	0.0731371	0.20423497	0.08229409	0.13880342
82	0.16775835	0.005460696	0.0850817	0.15173571	-0.0073540304	-0.1241956	0.077779606	0.30306965	-0.090394	-0.033093076	0.1352299	-0.28776512	0.21734348	-0.0860645	-0.1798404	-0.15156949	-0.014431044
